id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city_zone
32873440,5Mins walk MRT Rama9 1stop Ratchada Night Market,40262107,Patty,Din Daeng,13.75615,100.56186,Entire home/apt,1371.0,1,21,0.49,39,88,2,Inner Zone
32874165,Private group room 5 min to DMK PETRA POSHTEL,102799758,Sukritta,Don Mueang,13.92454,100.59972,Private room,1200.0,1,4,0.09,5,333,0,Outer Zone
32874842,6 Months or LongerPrasan MitMRTAirport Link,164257223,Drew,Ratchathewi,13.75175,100.5632,Entire home/apt,720.0,180,0,0.0,7,364,0,Inner Zone
32877338,Luxury condoSuperb skyline view bkce37,199624792,Ho,Vadhana,13.74055,100.59041,Entire home/apt,1450.0,21,0,0.0,23,148,0,Inner Zone
32879160,Night View Boutique CondoSukhumvit bkce30,199624792,Ho,Khlong Toei,13.71932,100.58359,Entire home/apt,1500.0,21,6,0.13,23,146,0,Inner Zone
32698944,2ห้องนอน2ห้องน้ำสระว่ายน้ำฟตเนส10นาทีถึงเซนทรัล,245872167,Thiraphat,Bang Khen,13.85416,100.63668,Entire home/apt,494.0,365,0,0.0,1,364,0,Middle Zone
32701111,Ibeyond Romklao 2 Queen bed,47634456,Poompong,Lat Krabang,13.75257,100.7495,Private room,1090.0,1,6,0.13,4,352,1,Outer Zone
32702106,Studio Room in CBD10 min walk from ChongNonsi BTS,45824871,Sakkarn,Sathon,13.71656,100.52979,Entire home/apt,836.0,1,65,1.4,2,312,22,Inner Zone
32702968,Nice place near 200m sky train Wongsawang station,245909504,Ratchaneekorn,Bang Sue,13.8298,100.52876,Entire home/apt,1000.0,7,1,0.02,1,345,0,Inner Zone
32879972,1 Bedroom for 23 people price include electric,243386029,Piyapa,Suanluang,13.711642,100.606834,Entire home/apt,904.0,1,27,0.61,3,295,17,Middle Zone
32390575,Lumpinipark phetkasem98,158215479,Rujira,Bang Khae,13.70985,100.38395,Private room,900.0,7,1,0.02,1,90,0,Middle Zone
32392160,Central Sukhumvit Superior Room Close To Nana BTS,215328104,Nutcha,Vadhana,13.74238,100.55544,Private room,10000.0,1,0,0.0,21,365,0,Inner Zone
32392185,Central Sukhumvit Superior Room Close To Nana BTS,215328104,Nutcha,Khlong Toei,13.74093,100.55486,Private room,10000.0,1,0,0.0,21,365,0,Inner Zone
